M1,M2,M3,M4,PosFactor,X1,X2
79,83,70,75,3,0,1
80,81,85,63,3,0,1
81,73,80,78,3,0,1
78,80,76,79,1,1,0
78,83,79,62,1,1,0
79,67,77,77,2,0,0
65,67,58,31,1,1,0
77,74,75,82,3,0,1
69,59,75,42,2,0,0
74,74,76,75,2,0,0
74,61,69,55,1,1,0
46,37,49,44,1,1,0
88,88,86,84,3,0,1
67,70,67,75,2,0,0
61,79,66,72,3,0,1
76,63,74,74,1,1,0
87,85,79,78,2,0,0
66,66,65,57,1,1,0
79,72,78,64,1,1,0
81,82,84,66,2,0,0
79,72,70,70,2,0,0
52,57,66,51,1,1,0
79,75,76,65,1,1,0
74,72,74,68,2,0,0
77,80,87,79,2,0,0
80,72,79,72,1,1,0
80,80,84,77,3,0,1
86,84,82,87,2,0,0
86,88,76,80,2,0,0
85,85,79,83,1,1,0
76,80,69,66,2,0,0
78,69,74,69,3,0,1
86,85,87,83,1,1,0
77,80,77,85,3,0,1
81,83,77,78,2,0,0
72,73,70,73,1,1,0
82,84,81,80,2,0,0
77,72,75,75,3,0,1
73,62,71,57,2,0,0
77,74,71,74,1,1,0
79,77,77,74,3,0,1
87,76,79,88,3,0,1
66,56,42,61,1,1,0
84,86,84,80,3,0,1
76,81,72,72,1,1,0
68,75,84,75,2,0,0
74,76,71,74,3,0,1
73,72,78,77,3,0,1
79,76,70,72,3,0,1
80,78,65,65,2,0,0
79,78,73,71,3,0,1
76,69,75,75,1,1,0
77,75,75,69,3,0,1
55,69,70,53,1,1,0
78,76,71,69,3,0,1
69,71,76,66,2,0,0
89,82,73,77,2,0,0
62,73,71,71,2,0,0
83,86,81,88,2,0,0
79,84,86,86,3,0,1
87,87,76,76,1,1,0
84,83,78,80,1,1,0
80,78,72,81,3,0,1
84,80,80,74,2,0,0
84,78,74,77,2,0,0
88,83,79,72,1,1,0
65,73,68,74,1,1,0
56,65,53,58,3,0,1
83,82,83,78,2,0,0
82,76,84,83,2,0,0
79,78,82,74,1,1,0
74,71,65,62,3,0,1
83,77,75,72,2,0,0
72,69,71,75,2,0,0
52,70,75,77,2,0,0
82,81,80,75,2,0,0
86,84,87,75,2,0,0
88,80,80,82,1,1,0
89,84,89,90,3,0,1
70,67,77,74,3,0,1
70,73,70,61,2,0,0
77,58,80,79,2,0,0
87,78,82,80,3,0,1
71,64,60,56,1,1,0
71,77,72,78,3,0,1
82,79,82,85,3,0,1
49,56,66,58,1,1,0
88,81,76,84,3,0,1
75,79,75,77,2,0,0
75,81,72,80,3,0,1
73,73,72,65,1,1,0
77,46,72,71,2,0,0
68,71,71,69,2,0,0
66,55,72,19,1,1,0
78,74,74,61,2,0,0
78,75,61,69,1,1,0
79,75,69,76,1,1,0
80,76,76,78,3,0,1
72,66,72,68,1,1,0
77,78,67,74,1,1,0
73,80,66,44,1,1,0
86,82,83,80,3,0,1
85,85,47,76,3,0,1
67,74,66,70,2,0,0
56,64,45,52,1,1,0
86,85,81,88,2,0,0
84,83,77,77,1,1,0
79,75,83,83,3,0,1
